DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09/25/2011;00:00:01;7698;76.481;76.659;76.4415;76.677
09/26/2011;00:00:01;126548;76.659;76.4385;76.224;76.7625
09/27/2011;00:00:01;112962;76.4385;76.702;76.2655;76.9355
09/28/2011;00:00:01;95496;76.7025;76.5435;76.3375;76.7145
09/29/2011;00:00:01;92995;76.5355;76.728;76.415;77.025
09/30/2011;00:00:01;89739;76.7315;77.0575;76.502;77.1975
10/02/2011;00:00:01;5815;77.0855;77.2015;77.0725;77.264
10/03/2011;00:00:01;108156;77.2015;76.62;76.5155;77.212
10/04/2011;00:00:01;94595;76.6155;76.83;76.542;76.981
10/05/2011;00:00:01;76693;76.829;76.7865;76.616;77.073
10/06/2011;00:00:01;81171;76.809;76.6865;76.566;76.839
10/07/2011;00:00:01;67657;76.679;76.75;76.587;76.918
10/09/2011;00:00:01;4998.7;76.7955;76.8025;76.739;76.8195
10/10/2011;00:00:01;63255.45;76.8025;76.666;76.573;76.855
10/11/2011;00:00:01;76621.63;76.6655;76.7065;76.606;76.759
10/12/2011;00:00:01;113363.87;76.706;77.101;76.316;77.4865
10/13/2011;00:00:01;92391.53;77.101;76.904;76.678;77.2285
10/14/2011;00:00:01;79739.36;76.9045;77.222;76.8625;77.449
10/16/2011;00:00:01;6070.92;77.0885;77.223;77.0685;77.259
10/17/2011;00:00:01;102054.11;77.225;76.8365;76.6065;77.453
10/18/2011;00:00:01;93126.8;76.837;76.778;76.6285;76.9135
10/19/2011;00:00:01;68607.5;76.7785;76.8385;76.6615;76.8625
10/20/2011;00:00:01;85622.24;76.837;76.8805;76.6815;77.0905
10/21/2011;00:00:01;81964.95;76.8795;76.2485;75.776;76.8795
10/23/2011;00:00:01;7333.41;76.2055;76.4185;76.1685;76.4855
10/24/2011;00:00:01;78119.73;76.4185;76.205;75.99;76.4395
10/25/2011;00:00:01;86418.51;76.2065;76.124;75.739;76.303
10/26/2011;00:00:01;86017.71;76.1235;76.177;75.717;76.324
10/27/2011;00:00:01;98749.01;76.177;75.968;75.6635;76.2815
10/28/2011;00:00:01;61932.92;75.97;75.8355;75.6755;76.003
10/30/2011;00:00:01;5069.2;75.642;75.7695;75.641;75.7995
10/31/2011;00:00:01;189164.56;75.768;78.317;75.5785;79.532
11/01/2011;00:00:01;122476.54;78.317;78.313;78.015;78.999
11/02/2011;00:00:01;93427.71;78.314;78.146;77.944;78.32
11/03/2011;00:00:01;81795.58;78.146;78.064;77.895;78.163
11/04/2011;00:00:01;75158.88;78.064;78.239;77.9875;78.2675
11/06/2011;00:00:01;2628.07;78.1875;78.157;78.1255;78.1925
11/07/2011;00:00:01;74302.31;78.1575;78.0815;77.984;78.183
11/08/2011;00:00:01;77508.15;78.0825;77.7105;77.599;78.0865
11/09/2011;00:00:01;90838.02;77.711;77.7725;77.5445;77.887
11/10/2011;00:00:01;87063.54;77.7715;77.664;77.5085;77.874
11/11/2011;00:00:01;73294.4;77.661;77.195;77.054;77.6735
11/13/2011;00:00:01;3626.56;77.2605;77.176;77.1;77.2755
11/14/2011;00:00:01;81604.7;77.1675;77.095;76.8165;77.246
11/15/2011;00:00:01;92314.99;77.0955;77.088;76.9105;77.506
11/16/2011;00:00:01;86677.35;77.088;77.074;76.8555;77.1505
11/17/2011;00:00:01;88564.84;77.072;76.973;76.917;77.083
11/18/2011;00:00:01;106828.87;76.969;76.94;76.577;77.034
11/20/2011;00:00:01;5503.67;76.878;76.855;76.8525;76.926
11/21/2011;00:00:01;90913.19;76.8545;76.94;76.765;76.9945
11/22/2011;00:00:01;80813.18;76.938;76.9815;76.8385;77.333
11/23/2011;00:00:01;61315.71;76.9825;77.281;76.9285;77.583
11/24/2011;00:00:01;71830.74;77.278;77.184;77.0155;77.282
11/25/2011;00:00:01;73066.62;77.184;77.73;77.1765;77.7915
11/27/2011;00:00:01;8243.54;77.5775;77.683;77.461;77.733
11/28/2011;00:00:01;78678.98;77.685;78.09;77.581;78.2395
11/29/2011;00:00:01;84418.18;78.09;77.9735;77.624;78.286
11/30/2011;00:00:01;96696.68;77.976;77.5965;77.297;78.158
12/01/2011;00:00:01;77300.06;77.5965;77.767;77.487;77.8115
12/02/2011;00:00:01;62174.89;77.765;77.9905;77.73;78.079
12/04/2011;00:00:01;7363.97;78.037;78.095;77.8965;78.1125
12/05/2011;00:00:01;69734.67;78.0955;77.8085;77.694;78.1015
12/06/2011;00:00:01;74657.34;77.81;77.752;77.638;77.858
12/07/2011;00:00:01;69339.11;77.754;77.68;77.626;77.7905
12/08/2011;00:00:01;101274.7;77.6795;77.685;77.1315;77.8
12/09/2011;00:00:01;81395.53;77.683;77.6445;77.4945;77.784
12/11/2011;00:00:01;1905.98;77.6865;77.619;77.5615;77.6865
12/12/2011;00:00:01;80221.59;77.618;77.952;77.5865;78.0015
12/13/2011;00:00:01;89882.76;77.954;77.9685;77.645;78.0215
12/14/2011;00:00:01;92508.09;77.9695;78.124;77.9245;78.158
12/15/2011;00:00:01;91849.83;78.124;77.853;77.738;78.1285
12/16/2011;00:00:01;65986.7;77.851;77.766;77.618;77.9635
12/18/2011;00:00:01;2295.05;77.792;77.822;77.73;77.832
12/19/2011;00:00:01;79428.46;77.821;78.017;77.801;78.1665
12/20/2011;00:00:01;79580.04;78.019;77.858;77.717;78.058
12/21/2011;00:00:01;89226.89;77.858;78.084;77.6875;78.1095
12/22/2011;00:00:01;73497.04;78.084;78.167;78.0045;78.212
12/23/2011;00:00:01;50983.1;78.168;78.096;78.006;78.226
12/25/2011;00:00:01;1039.19;78.0805;78.091;78.0445;78.1385
12/26/2011;00:00:01;20613.32;78.094;78.0075;77.878;78.105
12/27/2011;00:00:01;66636.41;78.005;77.879;77.798;78.028
12/28/2011;00:00:01;82976.22;77.88;77.945;77.565;78.039
12/29/2011;00:00:01;80788.42;77.9455;77.672;77.59;77.9495
12/30/2011;00:00:01;96235.6;77.6725;76.902;76.8805;77.742
01/01/2012;00:00:01;1378.96;76.9655;77.036;76.961;77.194
01/02/2012;00:00:01;14361.47;77.036;76.947;76.858;77.111
01/03/2012;00:00:01;86971.06;76.9475;76.736;76.6255;76.9645
